t,nodes,edges,degre_moyen,taille_composante_geante,longueur_moyenne_chemins,coefficient_clustering,efficacite_globale,efficacite_locale,scenario
27,100,1959,39.18,1.0,1.8896969696969697,0.7312653511052295,0.6572073112072975,0.8511133642033704,panne_previsible
28,100,1957,39.14,1.0,1.8909090909090909,0.7312179598474838,0.6568706108705971,0.8510893154375107,panne_previsible
29,100,1952,39.04,1.0,1.8907070707070708,0.7308715224282138,0.6565170755170618,0.850881534405614,panne_previsible
30,100,1952,39.04,1.0,1.89010101010101,0.731200824779621,0.656584415584402,0.8510322336350059,panne_previsible
31,100,1948,38.96,1.0,1.888080808080808,0.7310247984915813,0.6564632034631898,0.850934667535017,panne_previsible
32,100,1953,39.06,1.0,1.881010101010101,0.7301460097688717,0.657793169793156,0.8505124776448418,panne_previsible
33,100,1952,39.04,1.0,1.8832323232323231,0.73337319965549,0.6574227994227858,0.8530423008191969,panne_previsible
34,100,1956,39.12,1.0,1.8854545454545455,0.7344229988254811,0.6573083213083076,0.8535934297853413,panne_previsible
35,100,1961,39.22,1.0,1.8826262626262626,0.7344007450572778,0.6580658970658834,0.8535920286816855,panne_previsible
36,100,1963,39.26,1.0,1.8826262626262626,0.7339509112444467,0.6582174122173986,0.853277886781902,panne_previsible
37,100,1965,39.3,1.0,1.8824242424242423,0.7345275124022536,0.6583857623857486,0.853606504371175,panne_previsible
38,100,1971,39.42,1.0,1.8775757575757577,0.7327952124798803,0.6594733044732909,0.8527109420679246,panne_previsible
39,100,1970,39.4,1.0,1.8775757575757577,0.7329579692077638,0.6594227994227858,0.8528056164223736,panne_previsible
40,100,1971,39.42,1.0,1.877979797979798,0.7331046933107594,0.65946320346319,0.8528965246156782,panne_previsible
41,100,1971,39.42,1.0,1.8763636363636365,0.7335545329209323,0.6597325637325505,0.8531169365332736,panne_previsible
42,100,1971,39.42,1.0,1.8757575757575757,0.7336562321865833,0.6597931697931567,0.8531565575896596,panne_previsible
43,100,1972,39.44,1.0,1.8729292929292929,0.7335730090659993,0.6601534391534263,0.8531171593317259,panne_previsible
44,100,1980,39.6,1.0,1.855959595959596,0.733383536657878,0.6625137085136955,0.8535131114291731,panne_previsible
45,100,1982,39.64,1.0,1.8553535353535353,0.7337727694265667,0.6627493987493855,0.85371962453964,panne_previsible
46,100,1976,39.52,1.0,1.8573737373737373,0.7335840585850564,0.6620086580086445,0.8536314689795019,panne_previsible
47,100,1971,39.42,1.0,1.8597979797979798,0.7327642959537155,0.6613184223184086,0.853213793211796,panne_previsible
48,100,1975,39.5,1.0,1.8591919191919193,0.732052512522895,0.661688792688779,0.8528625246377475,panne_previsible
49,100,1970,39.4,1.0,1.860808080808081,0.7315766746752155,0.6610827320827184,0.852615401997637,panne_previsible
50,70,1545,18.771428571428572,1.0,2.2703933747412006,0.6922586914985129,0.5598590160701975,0.8255459846830879,panne_previsible
51,70,1550,18.857142857142858,1.0,2.269151138716356,0.6896171461348003,0.5605491471951112,0.8242279592596709,panne_previsible
52,70,1546,18.885714285714286,1.0,2.2645962732919256,0.6888584826232256,0.5613289953662638,0.823975770848495,panne_previsible
53,70,1555,19.114285714285714,1.0,2.2542443064182196,0.690452863044484,0.5640067041309288,0.8252944386686993,panne_previsible
54,70,1552,19.085714285714285,1.0,2.258385093167702,0.6914648118411612,0.5632475598935238,0.8258799099345325,panne_previsible
55,70,1552,19.142857142857142,1.0,2.253416149068323,0.6904236585516332,0.5640757172434202,0.8253599126938792,panne_previsible
56,70,1550,19.142857142857142,1.0,2.253416149068323,0.6929738559660019,0.5640412106871745,0.8270261728046474,panne_previsible
57,70,1554,19.285714285714285,1.0,2.2476190476190476,0.6949469084718385,0.5656975253869678,0.8281959882640105,panne_previsible
58,70,1553,19.142857142857142,1.0,2.255072463768116,0.6952146111760631,0.5641378290446623,0.8283463599894543,panne_previsible
59,70,1554,19.2,1.0,2.2480331262939957,0.69298928540687,0.5652144335995278,0.8273113538287854,panne_previsible
60,70,1553,19.2,1.0,2.243478260869565,0.695119449242099,0.5655664004732344,0.828563213665081,panne_previsible
61,70,1551,19.228571428571428,1.0,2.250517598343685,0.6967836627786786,0.5650626047520474,0.8295987770246256,panne_previsible
62,70,1557,19.34285714285714,1.0,2.243064182194617,0.6983572653712788,0.5664014591343808,0.83035874726451,panne_previsible
63,70,1558,19.428571428571427,1.0,2.238095238095238,0.6991698567154351,0.5674435571330004,0.830945124759527,panne_previsible
64,70,1558,19.485714285714284,1.0,2.236438923395445,0.6984214305533789,0.568126786946665,0.8307403457224595,panne_previsible
65,70,1557,19.457142857142856,1.0,2.2426501035196686,0.6999059737777833,0.5671398994380382,0.8315619376003173,panne_previsible
66,70,1554,19.457142857142856,1.0,2.2476190476190476,0.6999672605495201,0.5667396233855883,0.831583534810675,panne_previsible
67,70,1556,19.542857142857144,1.0,2.2422360248447206,0.7022734994294644,0.5678162279404536,0.832757939240841,panne_previsible
68,70,1555,19.542857142857144,1.0,2.2422360248447206,0.7022734994294644,0.5678162279404536,0.832757939240841,panne_previsible
